# Generated by mapping/generate_sim_positions.py --seed 1 from generated_pos_config.hpp.
# 233 mapped, 767 synthetic. Angles in degrees CCW from +x.
index,z_mm,radius_mm,angle_deg,source
0,461.0,180.7,42.45,synthetic
1,1466.5,113.3,234.57,synthetic
2,1607.3,338.8,140.33,synthetic
3,1427.2,296.6,0.76,synthetic
4,1179.9,123.3,36.8,synthetic
5,1012.4,312.7,9.16,synthetic
6,1206.6,250.3,348.85,synthetic
7,1499.2,249.0,79.81,synthetic
8,1060.6,479.7,243.67,synthetic
9,1483.6,113.6,104.32,synthetic
10,168.5,343.6,36.0,synthetic
11,1341.2,355.8,309.58,synthetic
12,355.5,222.7,180.29,synthetic
13,841.6,210.5,327.67,synthetic
14,525.7,237.4,304.63,synthetic
15,1295.4,364.9,307.18,synthetic
16,1306.9,286.4,62.28,synthetic
17,1285.1,305.5,279.3,synthetic
18,1390.5,266.7,280.24,synthetic
19,1239.7,171.9,133.39,synthetic
20,1468.6,360.7,353.95,synthetic
21,1319.3,321.4,232.98,synthetic
22,357.9,499.5,194.26,synthetic
23,1770.6,232.3,145.6,synthetic
24,1155.3,361.5,96.94,synthetic
25,1154.8,283.0,262.58,synthetic
26,1021.3,329.2,266.58,synthetic
27,1505.3,224.0,279.86,synthetic
28,588.8,277.8,205.2,synthetic
29,736.1,296.7,148.82,synthetic
30,1656.6,302.5,224.46,synthetic
31,1466.3,181.3,215.95,synthetic
32,1672.8,444.0,309.96,synthetic
33,1634.2,143.2,306.46,synthetic
34,955.9,257.9,312.51,synthetic
35,1220.1,105.1,272.01,synthetic
36,579.5,478.0,104.5,synthetic
37,674.5,412.1,189.86,synthetic
38,480.0,433.5,252.95,synthetic
39,1140.8,280.8,8.51,synthetic
40,938.8,273.6,91.24,synthetic
41,1504.1,327.0,75.27,synthetic
42,1211.4,252.3,143.03,synthetic
43,243.1,230.2,57.68,synthetic
44,1391.8,317.8,351.71,synthetic
45,1271.5,337.7,185.98,synthetic
46,582.2,190.5,289.22,synthetic
47,1295.8,396.0,21.16,synthetic
48,774.2,378.5,25.46,synthetic
49,422.4,314.1,338.14,synthetic
50,1477.2,237.4,201.86,synthetic
51,1795.9,224.8,294.99,synthetic
52,1964.7,297.6,350.56,synthetic
53,1439.3,299.7,13.47,synthetic
54,703.7,275.7,155.86,synthetic
55,551.4,190.6,337.66,synthetic
56,1067.8,297.5,313.78,synthetic
57,1998,250.4,56.51,synthetic
58,1689.0,249.5,122.07,synthetic
59,632.2,257.6,34.71,synthetic
60,1142.2,354.5,247.36,synthetic
61,1281.2,251.7,191.71,synthetic
62,170.1,314.4,327.96,synthetic
63,451.1,257.7,119.6,synthetic
64,1251.1,358.9,104.84,synthetic
65,1695.7,336.6,280.63,synthetic
66,1457.6,292.4,37.54,synthetic
67,289.9,163.3,136.88,synthetic
68,1608.6,268.0,211.47,synthetic
69,1140.8,305.5,198.1,synthetic
70,1258.2,375.4,203.2,synthetic
71,448.2,205.4,99.79,synthetic
72,1638.2,313.3,5.24,synthetic
73,930.2,291.0,318.62,synthetic
74,351.0,172.4,58.33,synthetic
75,1288.4,110.7,86.91,synthetic
76,1471.0,304.2,290.34,synthetic
77,1030.0,266.1,105.85,synthetic
78,724.5,326.6,114.27,synthetic
79,-120,164.7,353.73,synthetic
80,545.2,565.9,143.48,synthetic
81,121.9,392.3,349.13,synthetic
82,1362.0,265.0,352.78,synthetic
83,1109.9,263.1,168.81,synthetic
84,1063.7,221.4,88.7,synthetic
85,465.8,394.6,32.19,synthetic
86,1379.5,332.7,338.66,synthetic
87,1116.0,358.0,14.78,synthetic
88,748.7,263.9,109.01,synthetic
89,976.2,285.2,220.1,synthetic
90,1567.9,196.9,87.75,synthetic
91,-110.5,268.0,312.32,synthetic
92,1490.9,305.5,285.19,synthetic
93,1303.8,170.4,309.28,synthetic
94,267.2,318.7,341.72,synthetic
95,459.0,390.5,53.84,synthetic
96,392.9,463.1,185.17,synthetic
97,1313.6,256.1,321.75,synthetic
98,277.8,569.1,295.57,synthetic
99,1318.9,321.9,326.58,synthetic
100,1864.7,268.9,107.61,synthetic
101,1166.5,175.0,257.34,synthetic
102,1265.8,345.9,160.81,synthetic
103,1104.0,383.6,194.9,synthetic
104,1722.4,287.3,61.75,synthetic
105,1301.9,199.8,232.72,synthetic
106,964.6,242.2,208.83,synthetic
107,1314.3,278.7,93.28,synthetic
108,1578.0,207.4,32.13,synthetic
109,1380.2,198.6,190.33,synthetic
110,1278.6,320.6,230.08,synthetic
111,512.9,166.8,178.23,synthetic
112,1393.3,279.6,220.06,synthetic
113,1389.4,366.9,99.08,synthetic
114,1312.8,205.0,232.3,synthetic
115,1271.9,344.8,275.77,synthetic
116,1874.5,251.9,198.83,synthetic
117,616.4,486.7,265.11,synthetic
118,1348.5,292.0,185.02,synthetic
119,1131.7,316.0,90.21,synthetic
120,593.3,74.8,178.21,synthetic
121,1002.7,368.5,125.27,synthetic
122,1285.5,411.1,188.7,synthetic
123,516.9,435.9,226.24,synthetic
124,617.9,640.9,348.92,synthetic
125,1338.0,320.9,237.5,synthetic
126,1526.9,285.9,306.36,synthetic
127,1725.7,485.4,143.01,synthetic
128,1975.8,360.4,345.39,synthetic
129,388.7,191.0,192.26,synthetic
130,1998,296.8,269.85,synthetic
131,432.9,291.3,190.21,synthetic
132,1387.6,276.5,300.72,synthetic
133,618.1,225.5,53.43,synthetic
134,715.4,242.4,246.07,synthetic
135,1664.8,301.5,307.83,synthetic
136,461.1,511.3,276.86,synthetic
137,1354.4,321.9,73.74,synthetic
138,1698.7,223.1,269.02,synthetic
139,1091.4,310.8,242.61,synthetic
140,1524.1,290.0,206.13,synthetic
141,928.6,408.2,243.81,synthetic
142,1509.6,113.0,161.84,synthetic
143,1010.6,460.4,122.17,synthetic
144,1422.6,355.1,135.92,synthetic
145,543.2,254.3,358.14,synthetic
146,1135.9,290.1,183.95,synthetic
147,1078.3,345.1,186.09,synthetic
148,1393.1,283.3,161.78,synthetic
149,1081.2,260.4,129.39,synthetic
150,357.7,312.7,120.96,synthetic
151,1274.9,302.5,264.18,synthetic
152,1967.0,311.8,89.15,synthetic
153,1282.4,178.1,7.48,synthetic
154,1475.5,404.9,281.69,synthetic
155,1669.3,236.7,26.43,synthetic
156,1599.1,197.0,254.89,synthetic
157,1730.8,309.3,109.32,synthetic
158,1184.4,331.7,16.34,synthetic
159,1160.1,330.7,212.63,synthetic
160,-120,243.9,182.58,synthetic
161,626.3,508.5,144.69,synthetic
162,1547.8,269.3,85.4,synthetic
163,920.5,301.6,26.96,synthetic
164,1665.4,227.8,200.75,synthetic
165,153.0,403.5,235.1,synthetic
166,1585.5,283.2,266.34,synthetic
167,1035.3,352.3,62.05,synthetic
168,1581.1,289.6,93.16,synthetic
169,1505.2,202.8,303.77,synthetic
170,240.1,296.1,334.08,synthetic
171,1415.0,106.3,96.87,synthetic
172,-110.4,328.9,159.69,synthetic
173,1389.3,291.6,340.37,synthetic
174,1185.7,282.6,257.67,synthetic
175,997.5,418.7,144.27,synthetic
176,406.0,195.9,38.3,synthetic
177,1026.4,199.7,334.3,synthetic
178,900.9,202.2,270.87,synthetic
179,1567.5,241.8,253.41,synthetic
180,1670.6,293.8,238.65,synthetic
181,657.3,355.1,249.35,synthetic
182,434.6,342.8,270.22,synthetic
183,713.1,34.1,102.11,synthetic
184,1141.7,291.7,118.84,synthetic
185,1296.1,277.4,76.99,synthetic
186,493.7,398.6,115.05,synthetic
187,1028.7,325.8,103.4,synthetic
188,377.1,240.3,54.82,synthetic
189,240.7,260.6,52.26,synthetic
190,1189.4,303.8,28.63,synthetic
191,1266.5,209.4,326.19,synthetic
192,103.8,192.0,336.02,synthetic
193,1663.1,71.7,32.77,synthetic
194,136.3,284.8,294.17,synthetic
195,518.1,200.3,140.29,synthetic
196,1268.8,322.6,88.35,synthetic
197,1389.2,362.9,212.58,synthetic
198,999.4,271.8,348.89,synthetic
199,1987.3,261.9,148.55,synthetic
200,709.2,295.0,25.23,synthetic
201,547.8,601.9,259.6,synthetic
202,1495.7,280.4,21.14,synthetic
203,623.5,276.6,306.78,synthetic
204,121.8,509.0,180.41,synthetic
205,273.5,418.1,14.44,synthetic
206,1372.7,227.1,274.82,synthetic
207,1998,298.7,8.86,synthetic
208,1159.3,186.7,108.66,synthetic
209,1818.2,221.0,263.74,synthetic
210,932.7,398.2,42.17,synthetic
211,1272.6,391.5,152.94,synthetic
212,506.3,611.9,183.36,synthetic
213,1036.3,393.4,210.29,synthetic
214,384.6,409.9,201.11,synthetic
215,1811.2,288.3,252.46,synthetic
216,1392.6,223.7,267.54,synthetic
217,758.7,251.8,187.59,synthetic
218,400.7,302.6,108.18,synthetic
219,1613.8,147.4,112.91,synthetic
220,724.9,470.7,187.24,synthetic
221,309.5,278.2,53.55,synthetic
222,1390.6,283.8,352.59,synthetic
223,1349.5,290.0,131.1,synthetic
224,1544.3,300.0,332.02,synthetic
225,1647.2,375.3,17.54,synthetic
226,1012.1,208.4,253.05,synthetic
227,1404.2,300.7,356.62,synthetic
228,1559.2,139.5,352.71,synthetic
229,1238.2,203.5,10.47,synthetic
230,707.3,401.7,66.46,synthetic
231,844.7,372.3,223.09,synthetic
232,1675.2,234.3,38.5,synthetic
233,822.0,354.1,205.64,synthetic
234,1257.5,291.8,231.57,synthetic
235,471.0,433.5,155.55,synthetic
236,1237.3,333.8,102.15,synthetic
237,1961.8,207.5,177.7,synthetic
238,1998,282.1,196.01,synthetic
239,512.6,232.1,261.29,synthetic
240,1779.7,290.7,2.98,synthetic
241,1147.8,219.5,185.14,synthetic
242,1377.6,233.7,208.18,synthetic
243,1007.3,181.0,306.41,synthetic
244,1370.4,335.6,231.15,synthetic
245,1089.1,210.0,108.96,synthetic
246,1915.2,292.4,232.22,synthetic
247,1158.0,283.2,148.12,synthetic
248,1677.9,251.5,209.18,synthetic
249,1158.8,115.7,182.27,synthetic
250,1408.7,366.7,90.99,synthetic
251,345.7,316.9,265.01,synthetic
252,1278.1,314.0,237.24,synthetic
253,1476.2,335.2,323.55,synthetic
254,612.6,394.7,286.53,synthetic
255,987.5,357.0,306.81,synthetic
256,1548.7,277.9,127.62,synthetic
257,1009.7,204.8,358.2,synthetic
258,1683.4,307.0,103.37,synthetic
259,1034.3,305.1,184.96,synthetic
260,1393.8,252.9,329.03,synthetic
261,526.9,73.5,176.9,synthetic
262,1046.5,265.8,347.95,synthetic
263,657.3,111.2,37.18,synthetic
264,478.2,493.6,260.46,synthetic
265,1611.7,178.7,153.97,synthetic
266,137.4,483.7,340.6,synthetic
267,286.3,435.6,244.46,synthetic
268,1578.7,195.2,100.35,synthetic
269,1275.4,320.9,253.5,synthetic
270,220.5,392.5,140.3,synthetic
271,1166.2,253.9,245.51,synthetic
272,1237.7,313.0,38.1,synthetic
273,981.3,305.1,252.86,synthetic
274,506.2,512.4,357.14,synthetic
275,808.9,212.1,228.12,synthetic
276,1573.9,271.6,121.35,synthetic
277,1292.4,205.2,272.8,synthetic
278,1339.7,371.8,96.31,synthetic
279,968.7,245.9,107.95,synthetic
